Country,Crop,Source,Area (Million ha),Yield (MT/ha),Min-Max Prod. (Million MT)
Tanzania,Maize,USDA,4,1.75,7
Tanzania,Maize,FAO,4.2,1.9,8
Tanzania,Rice,USDA,1.1,3.37,3.8
Tanzania,Rice,FAO,1.2,3,3.58
Tanzania,Bean,FAO,1.1,1.37,1.5
Malawi,Maize,USDA,1.8,1.67,3
Malawi,Maize,FAO,1.8,1.76,3.5
Malawi,Rice,FAO,0.07,1.6,0.12
Malawi,Bean,FAO,0.37,0.6,0.22
Zambia,Maize,USDA,1.4,2.43,3.4
Zambia,Maize,FAO,1.4,2.3,3.3
Zambia,Rice,FAO,0.05,1.3,0.006
Zambia,Bean,FAO,0.13,0.67,0.008
Kenya,Maize,USDA,2.3,1.91,4.4
Kenya,Maize,FAO,2.4,1.76,4.28
Kenya,Rice,USDA,0.06,5.18,4.1
Kenya,Rice,FAO,0.038,5.8,4.05
Kenya,Bean,FAO,1.2,0.7,0.86
Uganda,Maize,USDA,2.3,2.17,5
Uganda,Maize,FAO,1.1,2.5,2.8
Uganda,Rice,USDA,0.23,1.59,5.05
Uganda,Rice,FAO,0.2,1.3,2.75
Uganda,Bean,FAO,1.1,0.74,0.86
Rwanda,Maize,USDA,0.3,1.5,0.45
Rwanda,Maize,FAO,0.32,1.59,0.51
Rwanda,Rice,FAO,0.032,4.1,0.13
Rwanda,Bean,FAO,0.62,0.72,0.45
